id,display_name,internal_name,sku,category,supplier_name,location,unit,base_weight,trim_percentage,cost_per_unit,stock,allergen_tags,benefits,is_active
b5badde1-166b-4887-9962-a5936e2f72ee,Tortilla Chip,Tortilla Chip,EBD-2031,Pantry,Wholesale Club  - 014,No Category - 020,Kgs,2.72,0,4.4081,0,,,True
e21eb1a8-defc-4288-8400-e769c03fb06b,Tri Color Pearl Couscous,Tri Color Pearl Couscous,EBD-1894,Pantry,Tootsi - 009,No Category - 020,Kgs,22,0,3.9091,0,,,True
4efea8fd-b0c2-4647-ba5b-f22d00af7f12,Tri-Color Quinoa,Tri-Color Quinoa,EBD-915,Pantry,Tootsi - 009,Starches / Gf Shelf - 029,Kgs,11.34,0,8.642,29.6749,,,True
6dd6a8ac-4a34-4623-89d7-3a03649e568a,Trophy Foods Roasted Salted Sunflower Seeds,Trophy Foods Roasted Salted Sunflower Seeds,8008805,Pantry,GFS - 003,Nuts / Seeds Shelf - 021,Kgs,6,0,8.5267,11.538,,,True
a258af63-f094-4e4f-87fd-980eb710fb03,Udon Noodles,Udon Noodles,3327405,Pantry,GFS - 003,Misc,Kgs,7.2,0,7.5,0,,,True
8ed929a7-e0ba-440f-8e74-405c575cf061,Unsalted Pumpkin Seeds,Unsalted Pumpkin Seeds,EBD-174,Pantry,Tootsi - 009,Nuts / Seeds Shelf - 021,Kgs,11.34,0,9.7884,50.4247,,,True
af47d65d-fd5f-4d70-9426-850cfd020f35,Vanilla Extract,Vanilla Extract,EBD-944,Pantry,Wholesale Club  - 014,Dried Fruit / Baking Supply Shelf - 008,Kgs,1,0,8.99,1.1482,,,True
b31e6c48-1ade-4ce8-b9c8-894b20d9c451,Veg Soup Base (Tootsi Brand),Veg Soup Base (Tootsi Brand),EBD-964,Pantry,Tootsi - 009,Misc Bulk Shelf - 019,Kgs,4.99,0,6.6132,29.045,,,True
4f6209d7-52ca-4dac-82c3-2bde7355c043,Vegan Chocolate Chips,Vegan Chocolate Chips,EBD-286,Pantry,Tootsi - 009,Dry Strage Shelf - 030,Kgs,2,0,8.9,0,,,True
60d73b58-6609-4b79-8884-712be9f1c84a,Water,Water,EBD-39,Pantry,n / a - 006,Randoms - 024,Kgs,0.1,0,0,851.2655,,,True
8361358b-4e1c-4e2c-a449-2be6a2cdd9f9,White Calrose Rice,White Calrose Rice,EBD-349,Pantry,Wholesale Club  - 014,Starches / Gf Shelf - 029,Kgs,18.1,0,3.0381,20.3407,,,True
43152ddf-de6e-4fcd-bf11-6731736a955c,White Sesame Seeds,White Sesame Seeds,EBD-19,Pantry,Tootsi - 009,Dry Strage Shelf - 030,Kgs,22.68,0,5.6437,18.1237,,,True
f9f0d72b-e259-4ee7-8068-620c9e478d00,White Vinegar,White Vinegar,9644005,Pantry,GFS - 003,Oils / Vinegars Shelf - 022,Kgs,20,0,0.934,13.6012,,,True
2e347a9b-bf92-4563-b0c9-4b8faf7e3174,White Wine Vinegar,White Wine Vinegar,9644205,Pantry,GFS - 003,Oils / Vinegars Shelf - 022,Kgs,10,0,2.556,3.8312,,,True
4e9f9dbf-8bf3-4a83-9ea0-24937210e77c,Whole Almonds,Whole Almonds,EBD-487,Pantry,Tootsi - 009,Nuts / Seeds Shelf - 021,Kgs,1.36,0,12.125,57.178,,,True
e0fa46c4-7902-4495-b1e9-480bc658dbb1,Whole Fennel Seeds,Whole Fennel Seeds,EBD-2768,Pantry,Wholesale Club  - 014,No Category - 020,Kgs,0.1,0,7.9,0,,,True
2f37f01a-f36e-474f-89a4-5a3496974bb5,Whole Grain Dijon Mustard,Whole Grain Dijon Mustard,EBD-2336,Pantry,Wholesale Club  - 014,No Category - 020,Kgs,8,0,6.6875,2.0677,,,True
c95dc846-47f3-4325-b8bd-c9b706a2370e,Whole Pecans,Whole Pecans,EBD-742,Pantry,Tootsi - 009,Nuts / Seeds Shelf - 021,Kgs,0.91,0,21.967,0,,,True
